metric_type,metric
accuracy,0.9696969696969697
AU_ROC,0.9678048780487805
f1_score,0.96
average_precision_score,0.9367515151515151
f_beta,0.96
matthews_correlation_coefficient,0.935609756097561
precision,0.96
recall,0.96
true_positive_rate_TPR,0.96
false_positive_rate_FPR,0.024390243902439025
false_discovery_rate,0.04
false_negative_rate,0.04
negative_predictive_value,0.975609756097561
misclassification_error_rate,0.030303030303030304
sensitivity,0.96
specificity,0.975609756097561
TP,24.0
FP,1.0
FN,1.0
TN,40.0
